Designator,Mid X,Mid Y,Layer,Rotation
C1,43.18,33.02,Top,270.0
C3,68.58,40.64,Top,270.0
C4,31.75,35.56,Top,180.0
C5,11.43,35.56,Top,180.0
C6,107.95,16.51,Top,0.0
C11,77.47,22.86,Top,270.0
C12,81.28,22.86,Top,270.0
C13,85.09,22.86,Top,90.0
C14,85.09,17.78,Top,180.0
CON1,55.88,11.43,Top,0.0
L1,91.44,17.78,Top,90.0
R1,43.18,22.86,Top,270.0
R2,78.74,17.78,Top,180.0
R3,85.09,13.97,Top,180.0
RN1,17.78,41.91,Top,180.0
RN2,36.51,41.91,Top,180.0
RN3,55.88,41.91,Top,180.0
UC2,59.69,20.32,Top,0.0
